date,key,value
11/25/16,Juppe,26
11/25/16,Macron,5
11/25/16,Hollande,4
11/25/16,Valls,2
11/25/16,Montebourg,0
11/25/16,Hamon,0
11/25/16,Melenchon,0
11/26/16,Le Pen,0
11/26/16,Fillon,7
11/26/16,Sarkozy,0
11/26/16,Juppe,2
11/26/16,Macron,1
11/26/16,Hollande,2
11/26/16,Valls,3
11/26/16,Montebourg,0
11/26/16,Hamon,0
11/26/16,Melenchon,4
11/27/16,Le Pen,1
11/27/16,Fillon,30
11/27/16,Sarkozy,2
11/27/16,Juppe,14
11/27/16,Macron,0
11/27/16,Hollande,3
11/27/16,Valls,4
11/27/16,Montebourg,0
11/27/16,Hamon,0
11/27/16,Melenchon,2
11/28/16,Le Pen,2
11/28/16,Fillon,44
11/28/16,Sarkozy,1
11/28/16,Juppe,10
11/28/16,Macron,2
11/28/16,Hollande,6
11/28/16,Valls,5
11/28/16,Montebourg,0
11/28/16,Hamon,0
11/28/16,Melenchon,1
11/29/16,Le Pen,2
11/29/16,Fillon,28
11/29/16,Sarkozy,1
11/29/16,Juppe,1
11/29/16,Macron,3
11/29/16,Hollande,7
11/29/16,Valls,10
11/29/16,Montebourg,3
11/29/16,Hamon,0
11/29/16,Melenchon,2
11/30/16,Le Pen,4
11/30/16,Fillon,20
11/30/16,Sarkozy,1
11/30/16,Juppe,0
11/30/16,Macron,2
11/30/16,Hollande,9
11/30/16,Valls,3
11/30/16,Montebourg,1
11/30/16,Hamon,0
11/30/16,Melenchon,5
12/01/16,Le Pen,1
12/01/16,Fillon,11
12/01/16,Sarkozy,0
12/01/16,Juppe,1
12/01/16,Macron,3
12/01/16,Hollande,21
12/01/16,Valls,2
12/01/16,Montebourg,6
12/01/16,Hamon,0
12/01/16,Melenchon,2
12/02/16,Le Pen,2
12/02/16,Fillon,11
12/02/16,Sarkozy,2
12/02/16,Juppe,3
12/02/16,Macron,4
12/02/16,Hollande,58
12/02/16,Valls,11
12/02/16,Montebourg,2
12/02/16,Hamon,0
12/02/16,Melenchon,1
12/03/16,Le Pen,1
12/03/16,Fillon,0
12/03/16,Sarkozy,1
12/03/16,Juppe,2
12/03/16,Macron,1
12/03/16,Hollande,8
12/03/16,Valls,2
12/03/16,Montebourg,0
12/03/16,Hamon,0
12/03/16,Melenchon,1
12/04/16,Le Pen,0
12/04/16,Fillon,0
12/04/16,Sarkozy,0
12/04/16,Juppe,0
12/04/16,Macron,4
12/04/16,Hollande,0
12/04/16,Valls,4
12/04/16,Montebourg,0
12/04/16,Hamon,0
12/04/16,Melenchon,0
12/05/16,Le Pen,1
12/05/16,Fillon,1
12/05/16,Sarkozy,0
12/05/16,Juppe,0
12/05/16,Macron,0
12/05/16,Hollande,10
12/05/16,Valls,24
12/05/16,Montebourg,2
12/05/16,Hamon,1
12/05/16,Melenchon,1
12/06/16,Le Pen,3
12/06/16,Fillon,3
12/06/16,Sarkozy,0
12/06/16,Juppe,0
12/06/16,Macron,4
12/06/16,Hollande,5
12/06/16,Valls,17
12/06/16,Montebourg,1
12/06/16,Hamon,1
12/06/16,Melenchon,0
12/07/16,Le Pen,4
12/07/16,Fillon,13
12/07/16,Sarkozy,0
12/07/16,Juppe,0
12/07/16,Macron,7
12/07/16,Hollande,3
12/07/16,Valls,13
12/07/16,Montebourg,0
12/07/16,Hamon,0
12/07/16,Melenchon,1
12/08/16,Le Pen,5
12/08/16,Fillon,7
12/08/16,Sarkozy,0
12/08/16,Juppe,1
12/08/16,Macron,7
12/08/16,Hollande,1
12/08/16,Valls,6
12/08/16,Montebourg,1
12/08/16,Hamon,2
12/08/16,Melenchon,0
12/09/16,Le Pen,6
12/09/16,Fillon,4
12/09/16,Sarkozy,0
12/09/16,Juppe,0
12/09/16,Macron,5
12/09/16,Hollande,2
12/09/16,Valls,1
12/09/16,Montebourg,1
12/09/16,Hamon,3
12/09/16,Melenchon,1
12/10/16,Le Pen,0
12/10/16,Fillon,0
